time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
1960-05-22T19:11:20.000Z,-38.143,-73.407,25,9.6,mw,,,,,iscgem,iscgem879136,2015-02-12T20:39:46.734Z,"Bio-Bio, Chile",earthquake
1964-03-28T03:36:16.000Z,60.908,-147.339,25,9.3,mw,,,,,iscgem,iscgem869809,2015-02-12T22:46:47.855Z,Southern Alaska,earthquake
2011-03-11T05:46:24.120Z,38.297,142.373,29,9,mww,541,9.5,,1.16,us,usp000hvnu,2015-04-18T20:09:42.041Z,"near the east coast of Honshu, Japan",earthquake
2004-12-26T00:58:53.450Z,3.295,95.982,30,9,mwc,601,22,,1.17,us,usp000dbed,2015-03-24T18:25:54.558Z,off the west coast of northern Sumatra,earthquake
1952-11-04T16:58:30.000Z,52.623,159.779,21.6,8.9,mw,,,,,iscgem,iscgem893648,2015-02-12T20:08:16.502Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake
2010-02-27T06:34:11.530Z,-36.122,-72.898,22.9,8.8,mwc,454,17.8,,1.09,us,usp000h7rf,2015-04-18T20:10:29.942Z,"offshore Bio-Bio, Chile",earthquake
1965-02-04T05:01:22.000Z,51.251,178.715,30.3,8.7,mw,,,,,iscgem,iscgem859206,2015-02-12T20:55:22.457Z,"Rat Islands, Aleutian Islands, Alaska",earthquake
2012-04-11T08:38:36.720Z,2.327,93.063,20,8.6,mww,499,16.6,,1.33,us,usp000jhh2,2015-04-18T20:25:37.785Z,off the west coast of northern Sumatra,earthquake
1946-04-01T12:29:01.000Z,53.492,-162.832,15,8.6,mw,,,,,iscgem,iscgem898313,2015-02-12T22:29:01.974Z,south of Alaska,earthquake
1950-08-15T14:09:34.000Z,28.363,96.445,15,8.6,mw,,,,,iscgem,iscgem895681,2015-02-12T22:22:44.893Z,eastern Xizang-India border region,earthquake
1957-03-09T14:22:33.000Z,51.499,-175.626,25,8.6,mw,,,,,iscgem,iscgem886030,2015-02-12T23:07:47.487Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
1960-05-22T18:56:02.000Z,-38.061,-73.039,25,8.6,mw,,,,,iscgem,iscgem879134,2015-02-12T21:22:10.811Z,"Araucania, Chile",earthquake
2005-03-28T16:09:36.530Z,2.085,97.108,30,8.6,mwc,510,22.1,,0.91,us,usp000dk85,2015-04-18T22:00:56.298Z,"northern Sumatra, Indonesia",earthquake
1933-03-02T17:31:00.000Z,39.209,144.59,15,8.5,mw,,,,,iscgem,iscgem905420,2015-02-12T23:27:22.617Z,"off the east coast of Honshu, Japan",earthquake
1938-02-01T19:04:22.000Z,-5.045,131.614,25,8.5,mw,,,,,iscgem,iscgem902352,2015-02-12T20:46:47.548Z,Banda Sea,earthquake
1963-10-13T05:17:59.000Z,44.872,149.483,35,8.5,mw,,,,,iscgem,iscgem873239,2015-02-12T22:09:58.233Z,Kuril Islands,earthquake
2007-09-12T11:10:26.830Z,-4.438,101.367,34,8.5,mwc,411,32.3,,1.03,us,usp000fmz4,2015-04-18T21:58:33.265Z,"southern Sumatra, Indonesia",earthquake
2001-06-23T20:33:14.130Z,-16.265,-73.641,33,8.4,mwc,518,,,1.05,us,usp000ah4q,2015-04-18T22:03:01.531Z,near the coast of southern Peru,earthquake
1923-02-03T16:01:50.000Z,54.486,160.472,15,8.4,mw,,,,,iscgem,iscgem911271,2015-02-12T22:32:25.807Z,"near the east coast of the Kamchatka Peninsula, Russia",earthquake
1958-11-06T22:58:09.000Z,44.479,148.485,35,8.4,mw,,,,,iscgem,iscgem885402,2015-02-12T20:54:33.641Z,Kuril Islands,earthquake
2013-05-24T05:44:48.980Z,54.892,153.221,598.1,8.3,mww,385,10,,1.02,us,usb000h4jh,2015-04-18T21:55:02.320Z,Sea of Okhotsk,earthquake
2003-09-25T19:50:06.360Z,41.815,143.91,27,8.3,mwc,669,27.4,,0.88,us,usp000c8kv,2015-04-18T22:01:28.837Z,"Hokkaido, Japan region",earthquake
1994-10-04T13:22:55.840Z,43.773,147.321,14,8.3,mw,,,,0.9,us,usp0006kdp,2015-04-18T22:04:56.944Z,Kuril Islands,earthquake
1905-07-09T09:40:39.000Z,49.709,98.483,15,8.3,mw,,,,,iscgem,iscgem16957859,2015-02-12T21:09:25.601Z,central Mongolia,earthquake
1905-07-23T02:46:22.000Z,49.369,96.61,15,8.3,mw,,,,,iscgem,iscgem16957865,2015-02-12T22:37:42.475Z,western Mongolia,earthquake
1906-01-31T15:36:10.000Z,0.955,-79.369,20,8.3,mw,,,,,iscgem,iscgem16957884,2015-01-24T18:07:43.000Z,near the coast of Ecuador,earthquake
1906-08-17T00:11:10.000Z,51.853,178.18,110,8.3,mw,,,,,iscgem,iscgem16957912,2015-02-12T20:36:18.494Z,"Rat Islands, Aleutian Islands, Alaska",earthquake
1918-08-15T12:18:21.000Z,5.967,124.377,20,8.3,mw,,,,,iscgem,iscgem913230,2015-02-12T20:41:43.875Z,"Mindanao, Philippines",earthquake
1920-12-16T12:05:55.000Z,36.888,105.606,15,8.3,mw,,,,,iscgem,iscgem912687,2015-02-12T21:46:17.948Z,"Gansu-Ningxia border region, China",earthquake
1922-11-11T04:32:51.000Z,-28.293,-69.852,70,8.3,mw,,,,,iscgem,iscgem912062,2015-02-12T23:34:14.820Z,"Atacama, Chile",earthquake
1938-11-10T20:18:49.000Z,55.178,-158.181,35,8.3,mw,,,,,iscgem,iscgem902774,2015-02-12T20:52:48.947Z,Alaska Peninsula,earthquake
1946-12-20T19:19:10.000Z,33.116,135.895,15,8.3,mw,,,,,iscgem,iscgem898698,2015-02-12T20:50:27.023Z,"near the south coast of western Honshu, Japan",earthquake
2006-11-15T11:14:13.570Z,46.592,153.266,10,8.3,mwc,576,20.9,,1.07,us,usp000exfn,2015-04-18T21:59:32.915Z,Kuril Islands,earthquake
2014-04-01T23:46:47.260Z,-19.6097,-70.7691,25,8.2,mww,,23,0.609,0.66,us,usc000nzvd,2015-04-26T03:55:22.760Z,"94km NW of Iquique, Chile",earthquake
1989-05-23T10:54:46.320Z,-52.341,160.568,10,8.2,mw,,,,1.3,us,usp0003vj7,2015-02-12T21:18:03.168Z,Macquarie Island region,earthquake
1994-06-09T00:33:16.230Z,-13.841,-67.553,631.3,8.2,mw,,,,1.1,us,usp0006dzc,2015-02-12T22:21:35.740Z,"La Paz, Bolivia",earthquake
1996-02-17T05:59:30.550Z,-0.891,136.952,33,8.2,mw,,,,1.3,us,usp0007d1w,2015-04-18T22:04:32.022Z,"Biak region, Indonesia",earthquake
1917-05-01T18:26:20.000Z,-31.08,-176.461,15,8.2,mw,,,,,iscgem,iscgem913483,2015-02-12T20:13:18.687Z,Kermadec Islands region,earthquake
1920-06-05T04:21:35.000Z,23.684,121.986,20,8.2,mw,,,,,iscgem,iscgem912519,2015-02-12T22:19:38.202Z,Taiwan,earthquake
1940-05-24T16:33:59.000Z,-11.094,-77.487,45,8.2,mw,,,,,iscgem,iscgem901374,2015-02-12T23:36:11.920Z,near the coast of central Peru,earthquake
1949-08-22T04:01:18.000Z,53.673,-133.015,10,8.2,mw,,,,,iscgem,iscgem896789,2015-02-12T23:34:13.803Z,"Haida Gwaii, Canada",earthquake
1950-12-09T21:38:51.000Z,-23.977,-67.912,113.9,8.2,mw,,,,,iscgem,iscgem896170,2015-02-12T23:46:37.361Z,"Antofagasta, Chile",earthquake
1965-01-24T00:11:17.000Z,-2.608,125.952,20,8.2,mw,,,,,iscgem,iscgem861299,2015-02-12T22:54:55.902Z,"Kepulauan Sula, Indonesia",earthquake
1968-05-16T00:49:02.000Z,40.86,143.435,29.9,8.2,mw,,,,,iscgem,iscgem821946,2015-02-12T22:31:34.494Z,"off the east coast of Honshu, Japan",earthquake
1969-08-11T21:27:35.000Z,43.424,147.859,30,8.2,mw,,,,,iscgem,iscgem805430,2015-02-12T21:42:44.185Z,Kuril Islands,earthquake
2012-04-11T10:43:10.850Z,0.802,92.463,25.1,8.2,mwc,341,14.9,,0.9,us,usp000jhjb,2015-03-24T01:41:17.993Z,off the west coast of northern Sumatra,earthquake
2004-12-23T14:59:04.410Z,-49.312,161.345,10,8.1,mwc,331,59.3,,1.12,us,usp000db93,2015-02-12T20:13:26.466Z,north of Macquarie Island,earthquake
1998-03-25T03:12:25.070Z,-62.877,149.527,10,8.1,mwc,,,,1.1,us,usp0008hzd,2015-04-18T22:04:21.987Z,Balleny Islands region,earthquake
1910-04-12T00:22:24.000Z,25.911,123.973,235,8.1,mw,,,,,iscgem,iscgem16958079,2015-02-12T22:17:23.503Z,northeast of Taiwan,earthquake
1914-05-26T14:22:47.000Z,-1.829,136.943,15,8.1,mw,,,,,iscgem,iscgem913984,2015-02-12T20:58:16.782Z,"Biak region, Indonesia",earthquake
1918-09-07T17:16:23.000Z,46.737,150.653,15,8.1,mw,,,,,iscgem,iscgem913260,2015-02-12T22:13:45.696Z,Kuril Islands,earthquake
1919-04-30T07:17:17.000Z,-18.352,-172.515,25,8.1,mw,,,,,iscgem,iscgem912773,2015-02-12T22:24:35.882Z,Tonga region,earthquake
1920-09-20T14:39:03.000Z,-20.088,168.523,25,8.1,mw,,,,,iscgem,iscgem912618,2015-02-12T22:04:04.490Z,"Loyalty Islands, New Caledonia",earthquake
1923-09-01T02:58:35.000Z,35.413,139.298,15,8.1,mw,,,,,iscgem,iscgem911526,2015-02-12T20:31:00.960Z,"near the south coast of Honshu, Japan",earthquake
1929-06-27T12:47:13.000Z,-55.342,-29.434,15,8.1,mw,,,,,iscgem,iscgem908171,2015-02-12T20:26:29.080Z,South Sandwich Islands region,earthquake
1932-06-03T10:36:56.000Z,19.786,-103.784,15,8.1,mw,,,,,iscgem,iscgem906183,2015-02-12T23:47:19.582Z,"Jalisco, Mexico",earthquake
1939-12-21T21:00:31.000Z,-0.073,122.51,35,8.1,mw,,,,,iscgem,iscgem902275,2015-02-12T21:49:14.937Z,"Sulawesi, Indonesia",earthquake
1942-08-24T22:50:32.000Z,-14.819,-74.708,30,8.1,mw,,,,,iscgem,iscgem900444,2015-02-12T22:35:30.237Z,central Peru,earthquake
1943-04-06T16:07:17.000Z,-31.432,-71.475,35,8.1,mw,,,,,iscgem,iscgem899789,2015-02-12T21:57:34.916Z,"Coquimbo, Chile",earthquake
1944-12-07T04:35:45.000Z,33.682,136.204,15,8.1,mw,,,,,iscgem,iscgem899647,2015-02-12T20:27:07.087Z,"near the south coast of western Honshu, Japan",earthquake
1945-11-27T21:56:54.000Z,24.927,63.601,15,8.1,mw,,,,,iscgem,iscgem899220,2015-02-12T20:38:45.893Z,off the coast of Pakistan,earthquake
1952-03-04T01:22:49.000Z,42.084,143.899,45,8.1,mw,,,,,iscgem,iscgem892540,2015-02-12T22:22:38.929Z,"Hokkaido, Japan region",earthquake
1957-12-04T03:37:53.000Z,45.189,99.368,30,8.1,mw,,,,,iscgem,iscgem887636,2015-02-12T23:44:30.728Z,central Mongolia,earthquake
1960-05-21T10:02:57.000Z,-37.824,-73.353,25,8.1,mw,,,,,iscgem,iscgem879106,2015-02-12T22:20:16.779Z,"Bio-Bio, Chile",earthquake
1963-11-04T01:17:09.000Z,-6.843,129.684,65,8.1,mw,,,,,iscgem,iscgem17294492,2015-02-12T22:13:48.812Z,Banda Sea,earthquake
1966-10-17T21:42:00.000Z,-10.665,-78.228,40,8.1,mw,,,,,iscgem,iscgem842581,2015-02-12T20:08:47.094Z,near the coast of central Peru,earthquake
1971-07-26T01:23:22.000Z,-4.817,153.172,40,8.1,mw,,,,,iscgem,iscgem782684,2015-02-12T21:58:42.680Z,"New Ireland region, Papua New Guinea",earthquake
2007-01-13T04:23:21.160Z,46.243,154.524,10,8.1,mwc,606,14,,1.12,us,usp000f2ab,2015-04-18T21:59:17.955Z,east of the Kuril Islands,earthquake
2009-09-29T17:48:10.990Z,-15.489,-172.095,18,8.1,mwc,520,20.8,,1.01,us,usp000h1ys,2015-04-18T20:25:20.369Z,Samoa Islands region,earthquake
2007-04-01T20:39:58.710Z,-8.466,157.043,24,8.1,mwc,439,14.7,,1.32,us,usp000f83m,2015-04-18T21:59:00.775Z,Solomon Islands,earthquake
1923-09-01T02:58:00.000Z,35.4,139.2,15,8.1,,,,,,atlas,atlas19230901025800,2015-02-03T15:20:03.079Z,"near the south coast of Honshu, Japan",earthquake
2013-02-06T01:12:25.830Z,-10.799,165.114,24,8,mww,460,20.9,,1.29,us,usc000f1s0,2015-01-30T08:36:41.213Z,"76km W of Lata, Solomon Islands",earthquake
1976-01-14T16:47:33.500Z,-28.427,-177.657,33,8,ms,,,,,us,usp0000ee7,2015-02-12T23:40:45.709Z,Kermadec Islands region,earthquake
1985-03-03T22:47:07.280Z,-33.135,-71.871,33,8,mw,,,,1,us,usp0002ccz,2015-02-12T20:49:26.234Z,"offshore Valparaiso, Chile",earthquake
1985-09-19T13:17:47.350Z,18.19,-102.533,27.9,8,mw,,,,1.3,us,usp0002jwe,2015-02-12T22:44:57.277Z,"Michoacan, Mexico",earthquake
1986-05-07T22:47:10.870Z,51.52,-174.776,33,8,mw,,,,1.1,us,usp0002tmu,2015-02-12T20:27:05.319Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2000-11-16T04:54:56.740Z,-3.98,152.169,33,8,mwc,254,,,1.2,us,usp000a3qq,2015-04-18T22:03:41.641Z,"New Ireland region, Papua New Guinea",earthquake
